Defect ID,Feature ID,Title,Reproduction,Expected,Actual,Severity,Root Cause,Status,Fix,Regression Test
DEF-001,SRV-C12,Session .png screenshots leak on delete/prune,Run `screenshot` for a session then `stop --remove` or wait for TTL prune,All session files (.json/.log/.png) removed,Only .json and .log deleted; .png binary files accumulate forever,Medium,deleteSessionFiles never unlinked getSessionScreenshotPath,FIXED,Added unlink of screenshot path in deleteSessionFiles (server/src/cli/session-files.ts),session-files.test.ts: deletes the .png screenshot file too
DEF-002,EXT-U15,Focus can escape a modal when active element is outside the trap,"Open modal; focus moves to an element outside (removed/disabled); press Tab",Focus is pulled back inside the trap,Tab only wrapped on first/last; if activeElement was outside the trap Tab left the modal,High,handleKeyDown only checked activeElement===first/last and ignored the escaped case,FIXED,Added container.contains(activeElement) check to pull focus back (useFocusTrap.js),useFocusTrap.test.jsx: pulls focus back inside when it has escaped
DEF-003,EXT-U15,Unsafe focus restore on unmount,Open modal while a trigger element is focused; remove that trigger; close modal,Restore is skipped safely,previouslyFocused.focus() called unconditionally; could target a detached node,Medium,Cleanup did not verify the node still exists/focusable,FIXED,Guard with document.contains + typeof focus + try/catch (useFocusTrap.js),useFocusTrap.test.jsx: does not throw when previously focused element removed
DEF-004,EXT-A08,Emergency compaction builds an invalid first message role,Trigger compaction then make normal summarization throw so emergencyCompact runs,messages[0].role === 'user' (Anthropic requirement),"Array started with role 'assistant', so the next API call would 400",Medium,emergencyCompact hardcoded a leading assistant message,FIXED,Start with synthetic user message; add assistant turn only when recentContext[0] is user (conversation-compaction.js),Covered by reasoning + existing suite (function not exported); no regression
DEF-005,EXT-L14,retryWithBackoff documented exponential but implemented linear,Call retryWithBackoff with delay=100 and observe waits,"100, 200, 400 ... (exponential)","100, 200, 300 ... (linear: delay*attempt)",Low,Backoff used delay*attempt instead of delay*2^(attempt-1),FIXED,Changed to delay*Math.pow(2 attempt-1) (retry.js); early retries unchanged,retry.test.js: waits with exponential backoff between attempts
DEF-006,EXT-U07,Step labels show raw 'Computer: <action>' for several real actions,View steps for hover/left_click_drag/triple_click/wait/zoom/scroll_to,Friendly label (Hovering/Dragging/etc),Generic 'Computer: <action>' because mapping used nonexistent action names mouse_move/drag,Low,getActionDescription action names did not match src/tools/definitions.js,FIXED,Added correct branches + label map; refactored into describeComputerAction (format.js),format.test.js: describes every real computer action with a friendly label
DEF-007,SRV-C11,String flag consumes following flag as its value,parseFlags(['--url' '--json'] {...}) yields url='--json',Reject or treat --json as a flag,url swallows --json; or undefined when flag is last,Low,out[name]=inline ?? argv[++i] without lookahead guard,WONT-FIX,"Fixing risks rejecting legitimate values starting with '-' (context/task); documented as known limitation",N/A
DEF-008,EXT-S13,DOM serializer can exceed maxChars by one element,Serialize a tree where a single late node is large,Output never exceeds maxChars,charCount checked after the line is pushed so one oversized line slips through,Low,Truncation guard runs post-append,OPEN,Deferred (efficiency only; truncation still functions; strict fix touches many push sites in hot path),N/A
DEF-009,EXT-L13,Codex non-streaming tool_use loses id when only item.id present,Codex Responses API non-streaming output with function_call lacking call_id,tool_use.id falls back to item.id (as streaming path does),tool_use.id set to undefined; breaks tool-result correlation,Medium,_normalizeResponsesApiOutput used item.call_id without || item.id fallback,FIXED,Added || item.id fallback to match streaming path (codex-provider.js:343),Verified by code parity with streaming path (line 303); no unit harness for provider
DEF-010,EXT-S09,Element id with CSS-special chars throws in label lookup,Page has <input id='a\"b'> with a matching <label for>,Label found or skipped gracefully,"document.querySelector('label[for=\"a\"b\"]') throws DOMException, aborting name resolution",Medium,Selector built by raw string concat without CSS.escape,FIXED,Extracted getAssociatedLabelText with CSS.escape + try/catch (accessibility-tree.js),Verified by reasoning + lint/build; content-script (no unit harness)
DEF-011,TOOLING,npm run lint quality gate broken (88 errors),Run `npm run lint` at HEAD,Lint passes (exit 0),"88 no-undef errors: describe/it/expect/vi undefined in committed *.test.js files",Medium,ESLint test override (.eslintrc.json) set env node but omitted vitest globals,FIXED,Added vitest globals (describe/it/expect/vi/before*/after*) to the *.test.js override,`npm run lint` now exits 0 (4 pre-existing complexity/unused warnings remain in api.js/service-worker.js)
