Feature ID,Feature Name,User Story,Expected Behaviour,Edge Cases,Test Cases,Current Status,Defect Count,Severity,Notes,Last Tested Date
EXT-T01,computer:screenshot,As an agent I capture a viewport screenshot,CDP Page.captureScreenshot returns base64 PNG + imageId; stores DPR context,Debugger detach mid-capture; HiDPI scaling; tab navigates during capture,"TC: coord scaling DPR2; TC: identity DPR1; TC: context set/get/clear; TC(live): capture/no-debugger",PARTIAL,0,,screenshot-context.test.js covers DPR coordinate scaling; live capture needs CDP,2026-06-21
EXT-T02,computer:left_click,As an agent I click an element by ref or coordinate,Resolves ref->backendNodeId or uses coords; domain-unchanged security check; falls back to direct JS click when no box model,Stale ref (removed); domain changed mid-click; element offscreen; antiBot bezier delays,"TC: click by ref; TC: click by coord; TC: stale ref error; TC: domain-change abort",PARTIAL,0,,Has computer-core.test.js,2026-06-21
EXT-T03,computer:right_click,As an agent I right-click at coordinates,Right-click dispatched (coordinate only; no ref),No ref support; element without bounds returns Clicked anyway,"TC: right_click coord; TC: ref rejected",NOT-TESTED,0,,,
EXT-T04,computer:double_click,As an agent I double-click,clickCount=2 at coord or ref,Same as left_click; no button-state validation,"TC: double_click coord; TC: double_click ref",NOT-TESTED,0,,,
EXT-T05,computer:triple_click,As an agent I triple-click to select text,clickCount=3,No confirmation text selected,"TC: triple_click selects",NOT-TESTED,0,,,
EXT-T06,computer:type,As an agent I type text into focused element,CDP type with optional human delays; escapes backtick/$,Focus race (100ms wait); non-focusable element; domain check,"TC: type happy; TC: special chars; TC: domain-change abort",NOT-TESTED,0,,,
EXT-T07,computer:key,As an agent I press keys/chords,Presses keys; special reload shortcuts use chrome.tabs.reload,repeat clamped 1-100; composed-key space-split parsing; 8 hardcoded reload patterns,"TC: single key; TC: chord; TC: reload shortcut; TC: repeat clamp",NOT-TESTED,0,,Reload detection hardcoded,
EXT-T08,computer:scroll,As an agent I scroll the page,CDP scrollWheel with JS fallback on 5s timeout; ineffective-scroll detection,delta<5px logged; container vs document scroll; visualMode auto-screenshot,"TC: scroll down; TC: CDP timeout fallback; TC: ineffective scroll",NOT-TESTED,0,,,
EXT-T09,computer:scroll_to,As an agent I scroll an element into view,Resolves ref and scrolls into view; no auto-screenshot,ref required; removed element error,"TC: scroll_to ref; TC: missing ref",NOT-TESTED,0,,,
EXT-T10,computer:hover,As an agent I hover over an element,mouseMoved dispatched at coord/ref,Lost bounds; offscreen no hover CSS,"TC: hover coord; TC: hover ref",NOT-TESTED,0,,,
EXT-T11,computer:wait,As an agent I pause execution,Sleeps for duration,duration>30 error; duration<=0 error,"TC: wait 1s; TC: wait>30 rejected; TC: wait<=0 rejected",NOT-TESTED,0,,30s safety cap,
EXT-T12,computer:left_click_drag,As an agent I drag from A to B,4-event mouse drag sequence,coord scaling; target out of viewport; element moves,"TC: drag happy; TC: out-of-viewport target",NOT-TESTED,0,,No intermediate moves,
EXT-T13,computer:zoom,As an agent I capture a zoomed region,Page.captureScreenshot with clip region,region must fit viewport; invalid region error,"TC: zoom region; TC: region exceeds viewport",NOT-TESTED,0,,,
EXT-T14,navigate,As an agent I navigate to a URL or back/forward,chrome.tabs.update / goBack / goForward; normalizes https://,invalid URL error; missing url/tabId; 100ms post-nav pause,"TC: missing url; TC: missing tabId; TC: bare-domain https prefix; TC: explicit https; TC: back; TC: forward; TC: invalid url",TESTED,0,,navigation-core.test.js (7 cases; chrome mocked),2026-06-21
EXT-T15,read_page,As an agent I read the page DOM/a11y tree,4 parallel CDP calls -> serialized tree with [backendNodeId] refs,empty DOM=loading error; max_chars truncation,"TC: read happy; TC: empty page; TC: truncation",NOT-TESTED,0,,,
EXT-T16,form_input,As an agent I set a form field value,Sets select/checkbox/radio/date/range/number/text/contenteditable; custom dropdown support,No element error; dropdown no-options; ref_N WeakRef GC fallback; 500ms x10 dropdown retry,"TC: text input; TC: select; TC: checkbox; TC: custom dropdown; TC: stale ref",NOT-TESTED,0,,Dual resolution path CDP+WeakRef,
EXT-T17,file_upload,As an agent I upload a file to an input,DOM.setFileInputFiles; resolves bare filename vs downloads folder,file-not-found via native host; selector fallback; native host absent assumes exists,"TC: upload abs path; TC: bare filename; TC: missing file; TC: no native host",NOT-TESTED,0,,,
EXT-T18,find,As an agent I find elements by natural language,LLM ranks a11y tree; returns up to 20 matches,LLM unavailable; a11y fn missing; no matches,"TC: find happy; TC: no LLM; TC: no matches",NOT-TESTED,0,,Requires callLLMSimple,
EXT-T19,get_page_text,As an agent I extract visible page text,Tries 10 semantic selectors then body; collapses whitespace,text>max_chars error; no content element,"TC: article text; TC: fallback body; TC: too-large error",NOT-TESTED,0,,,
